day,SWA1,SWB1,FWA1,FWB1,blank1,SWA2,SWB2,FWA2,FWB2,blank2,SWA4,SWB4,FWA4,FWB4,blank4,FWA6,FWB6,blank6
1,7172,706,8666,2165,382,,,,,,19250,815,9337,4237,396,4513,764,375
2,4225,658,3813,1532,347,2056,1439,11226,1519,391,14123,1180,11439,2343,335,6777,2336,406
3,,,,,,2417,802,8593,644,394,8253,476,4536,891,335,3871,1096,415
4,,,,,,1840,1336,9902,1428,391,10755,1220,11151,2037,355,8274,2505,463
5,,,,,,,,,,,4213,500,5324,896,382,3399,885,413
6,,,,,,,,,,,13348,1220,7433,1616,355,5462,2186,379
7,,,,,,,,,,,3352,490,6017,824,379,2887,899,375
8,,,,,,,,,,,8493,1712,12188,1683,361,4395,1554,383
9,,,,,,,,,,,,,,,,2696,1009,389
10,,,,,,,,,,,,,,,,3532,1905,396
11,,,,,,,,,,,,,,,,3918,757,333
12,,,,,,,,,,,,,,,,4565,1630,424